"anio","mes","division","indice"
2014,2,1,46.4093517231547
2014,2,2,79.0227010388611
2014,2,3,90.2128721104273
2014,2,4,85.6481124063923
2014,2,5,83.0144267274107
2014,2,6,79.998535227772
2014,2,7,79.7127598152424
2014,2,8,90.3495372450354
2014,2,9,82.1202169097991
2014,2,10,96.8050220181767
2014,2,11,73.9803001256032
2014,2,12,89.0224863650508
2014,2,13,82.2555502711476
2014,3,1,46.4948857763997
2014,3,2,78.9688341669873
2014,3,3,90.3126559121902
2014,3,4,86.0572840268663
2014,3,5,83.1586940015186
2014,3,6,80.196279478541
2014,3,7,80.0519630484988
2014,3,8,90.3585227783269
2014,3,9,82.387535324219
2014,3,10,96.8331303288672
2014,3,11,74.0397963905599
2014,3,12,89.2755282811875
2014,3,13,82.4337893201813
2014,4,1,46.5839837485298
2014,4,2,79.0380915736821
2014,4,3,90.4623316148345
2014,4,4,86.0572840268663
2014,4,5,83.2953682611996
2014,4,6,80.430643035008
2014,4,7,80.3839491916859
2014,4,8,90.3675083116182
2014,4,9,82.6701290766058
2014,4,10,96.8518692026609
2014,4,11,74.2315065776426
2014,4,12,89.3090567574966
2014,4,13,82.5483111194709
2014,5,1,46.897608610428
2014,5,2,78.9688341669873
2014,5,3,90.5621154165973
2014,5,4,85.8488381070022
2014,5,5,83.4168564920273
2014,5,6,80.7309213417313
2014,5,7,80.2973441108545
2014,5,8,90.3675083116182
2014,5,9,82.6166653937218
2014,5,10,96.9080858240419
2014,5,11,74.3108349309182
2014,5,12,89.2049420152736
2014,5,13,82.6990645458459
2014,6,1,47.4785273887166
2014,6,2,79.1304347826087
2014,6,3,90.6203226342923
2014,6,4,85.9878020535783
2014,6,5,83.5307517084282
2014,6,6,80.8407792588252
2014,6,7,80.7953233256351
2014,6,8,90.3675083116182
2014,6,9,82.8916214771251
2014,6,10,96.8987163871451
2014,6,11,74.3306670192371
2014,6,12,89.2402351482305
2014,6,13,82.8768934517592
2014,7,1,48.1271606258241
2014,7,2,79.191996921893
2014,7,3,90.6702145351737
2014,7,4,86.1344862194086
2014,7,5,83.6522399392558
2014,7,6,80.9579610370587
2014,7,7,81.2283487297921
2014,7,8,90.3675083116182
2014,7,9,82.9374474910257
2014,7,10,96.9549330085261
2014,7,11,74.4628809413631
2014,7,12,89.2049420152736
2014,7,13,82.9392584196747
2014,8,1,48.8363804839801
2014,8,2,79.545979222778
2014,8,3,90.7450523864959
2014,8,4,86.1653670964255
2014,8,5,83.7813211845102
2014,8,6,81.0897905375714
2014,8,7,80.2468244803695
2014,8,8,90.340551711744
2014,8,9,82.9221721530588
2014,8,10,96.9736718823198
2014,8,11,74.6017055595954
2014,8,12,89.3090567574966
2014,8,13,83.0774074870795
2014,9,1,48.9219145372251
2014,9,2,80.1231242785686
2014,9,3,90.9030434059537
2014,9,4,86.149926657917
2014,9,5,83.7965072133637
2014,9,6,81.1996484546653
2014,9,7,79.7055427251732
2014,9,8,90.3764938449096
2014,9,9,83.2811425952799
2014,9,10,96.9736718823198
2014,9,11,74.6479804323395
2014,9,12,89.5793397159714
2014,9,13,83.230850831851
2014,10,1,49.2783064257457
2014,10,2,80.469411312043
2014,10,3,90.9778812572758
2014,10,4,86.1113255616459
2014,10,5,83.8876233864844
2014,10,6,81.2875347883404
2014,10,7,78.6301963048498
2014,10,8,90.3944649114924
2014,10,9,83.5484610096998
2014,10,10,96.9736718823198
2014,10,11,74.6876446089773
2014,10,12,89.4904328004056
2014,10,13,83.3920507702133
2014,11,1,49.8057664207562
2014,11,2,80.6540977298961
2014,11,3,91.0444037917844
2014,11,4,85.6403921871381
2014,11,5,83.9028094153378
2014,11,6,81.4779551779698
2014,11,7,77.2589491916859
2014,11,8,90.4034504447839
2014,11,9,84.0678225005728
2014,11,10,96.9736718823198
2014,11,11,74.8000264427844
2014,11,12,89.4546902786663
2014,11,13,83.4829287171467
2014,12,1,50.0017819594426
2014,12,2,80.5925355906117
2014,12,3,91.2190254448694
2014,12,4,84.8760904809696
2014,12,5,83.9559605163249
2014,12,6,81.5658415116449
2014,12,7,75.534064665127
2014,12,8,90.9156258423937
2014,12,9,84.2434888871916
2014,12,10,96.9736718823198
2014,12,11,74.87935479606
2014,12,12,89.4546902786663
2014,12,13,83.5178215052795
2015,1,1,50.251256281407
2015,1,2,80.6464024624855
2015,1,3,91.3188092466322
2015,1,4,83.5096116729715
2015,1,5,84.0015186028853
2015,1,6,81.7049948732972
2015,1,7,72.2719399538106
2015,1,8,90.9335969089765
2015,1,9,84.251126556175
2015,1,10,97.3390799212967
2015,1,11,75.0710649831427
2015,1,12,89.3419550152742
2015,1,13,83.5944704658966
2015,2,1,50.5827007377312
2015,2,2,80.6771835321277
2015,2,3,91.4768002660901
2015,2,4,82.7144290897861
2015,2,5,84.2065299924069
2015,2,6,81.9027391240662
2015,2,7,73.2823325635103
2015,2,8,90.9425824422679
2015,2,9,84.358053921943
2015,2,10,97.3390799212967
2015,2,11,75.2297216896939
2015,2,12,89.6093059805032
2015,2,13,83.7577070270478
2015,3,1,50.8499946541216
2015,3,2,80.7310504040015
2015,3,3,91.5599534342258
2015,3,4,81.9346869451092
2015,3,5,84.2900531511009
2015,3,6,82.085835652556
2015,3,7,74.1844688221708
2015,3,8,91.0234522418905
2015,3,9,84.3427785839761
2015,3,10,97.3765576688841
2015,3,11,75.1966682091624
2015,3,12,88.6208789344986
2015,3,13,83.9589219767371
2015,4,1,51.2420257314943
2015,4,2,80.9849942285494
2015,4,3,91.7262597704972
2015,4,4,81.7030803674824
2015,4,5,84.5330296127562
2015,4,6,82.1151310971144
2015,4,7,74.4298498845265
2015,4,8,91.0414233084733
2015,4,9,84.2969525700756
2015,4,10,97.3859271057809
2015,4,11,75.4544853573081
2015,4,12,86.959301062404
2015,4,13,84.1489599604064
2015,5,1,51.6661320788338
2015,5,2,81.1388995767602
2015,5,3,91.7761516713786
2015,5,4,79.4796572222651
2015,5,5,84.6469248291571
2015,5,6,82.210341291929
2015,5,7,75.584584295612
2015,5,8,91.0324377751819
2015,5,9,84.2053005422745
2015,5,10,97.4702520378525
2015,5,11,75.8511271236861
2015,5,12,86.9560074096601
2015,5,13,84.4634772206402
2015,6,1,52.1330054527958
2015,6,2,81.27741439015
2015,6,3,91.8676201563279
2015,6,4,79.3252528371805
2015,6,5,84.760820045558
2015,6,6,82.3641423758605
2015,6,7,75.7000577367205
2015,6,8,91.0324377751819
2015,6,9,84.1365615214236
2015,6,10,97.5077297854398
2015,6,11,76.0362266146625
2015,6,12,86.9023936270511
2015,6,13,84.7079497853208
2015,7,1,52.7816386899034
2015,7,2,81.3774528664871
2015,7,3,91.9590886412772
2015,7,4,79.2789315216552
2015,7,5,84.927866362946
2015,7,6,82.4154094038377
2015,7,7,75.6784064665126
2015,7,8,91.0504088417647
2015,7,9,84.4802566256778
2015,7,10,97.5170992223367
2015,7,11,76.2609902822767
2015,7,12,87.3430372320866
2015,7,13,84.8928567824706
2015,8,1,52.999037741901
